,x_op,y_cs,y_btu,x_WF,y_af1,y_af2,x_9a,x_9b,x_7a,x_7b,x_wrh1,x_MB,x_cfa,x_cfb,x_cfc,x_cfd,x_cfe,x_cff,y_pa,y_pb,y_pc,y_pd,y_pe,y_pf,y_sx,y_nx,x_FA,x_na,x_nb,x_10a,x_wsh1,x_wsh2,x_cs,x_cn ,x_co,x_cd,y_fg,x_ash
a-12-01  00:00:00,316.70,134.69,39.37,65.29,312.83,1133.40,590.28,588.85,568.26,567.56,6.02,69.30,33.75,33.65,33.69,33.72,0.00,0.00,211.28,211.82,218.24,214.59,0.00,0.06,482.50,100.73,10.69,323.23,320.99,501.21,28.30,8.11,28.46,40.44,6.95,4.81,69711.30,15.76
a-12-01  00:10:00,315.50,134.67,39.25,65.33,313.60,1137.74,590.91,590.08,569.35,569.12,6.12,69.24,33.70,33.63,33.64,33.64,0.00,0.00,215.26,213.94,223.47,217.84,0.00,0.06,483.19,94.57,10.75,322.90,320.71,501.50,27.65,11.91,27.68,39.66,7.01,4.84,68532.25,15.31
a-12-01  00:20:00,317.26,134.29,39.17,65.33,312.83,1125.20,591.68,591.52,568.88,569.05,5.84,69.13,33.65,33.84,33.57,33.53,0.00,0.00,213.81,212.85,223.85,217.26,0.00,0.06,484.39,94.22,10.70,323.20,320.81,502.71,30.61,13.32,27.57,34.91,6.89,4.75,70371.39,14.11
a-12-01  00:30:00,318.12,133.91,39.14,65.21,312.81,1129.18,592.04,592.54,569.40,569.29,6.49,68.97,33.47,33.45,33.39,33.48,0.00,0.00,214.16,213.41,224.28,218.25,0.02,0.06,483.77,91.19,10.40,323.13,320.89,503.44,32.07,13.57,27.72,36.02,6.93,4.74,69417.63,13.83
a-12-01  00:40:00,315.81,133.67,39.07,65.08,312.44,1125.24,593.67,593.15,569.03,569.04,5.77,67.77,33.56,33.55,33.62,33.55,0.00,0.00,212.13,211.69,222.93,216.61,0.02,0.06,484.48,96.37,9.86,323.55,321.24,503.58,35.37,13.79,27.72,36.48,7.01,4.80,67943.85,14.40
a-12-01  00:50:00,314.00,133.92,39.02,65.75,312.43,1122.64,588.52,588.85,566.42,567.85,6.17,69.21,33.60,33.50,33.63,33.49,0.00,0.00,210.73,210.97,221.16,215.68,0.02,0.06,483.10,93.44,9.33,323.59,321.06,502.31,37.89,9.09,27.84,39.31,6.95,4.68,69483.08,14.22
a-12-01  01:00:00,316.65,134.63,38.96,66.17,312.78,1126.25,584.36,585.57,569.36,567.09,5.82,69.40,34.05,33.75,33.80,33.67,0.00,0.00,213.22,212.85,221.95,218.20,0.01,0.06,479.66,89.25,9.30,322.97,320.82,500.75,35.32,10.16,27.57,37.06,7.13,4.80,67459.46,15.95
a-12-01  01:10:00,314.36,132.87,38.94,66.22,312.19,1123.78,586.85,584.81,568.86,568.39,5.56,69.27,33.04,32.97,33.16,33.05,0.00,0.00,211.02,211.58,220.57,215.83,0.00,0.06,484.40,89.82,9.96,323.03,320.75,500.23,36.49,12.38,28.53,33.98,6.86,4.75,70743.66,16.61
a-12-01  01:20:00,320.31,137.85,38.88,65.43,315.08,1153.11,588.17,585.01,568.41,568.92,5.99,69.30,34.44,34.51,34.47,34.42,0.00,0.00,215.89,217.38,224.35,220.65,0.00,0.06,481.73,94.60,9.46,322.71,320.59,496.99,37.41,10.96,28.22,37.35,7.00,4.77,68298.23,13.80
a-12-01  01:30:00,319.31,134.17,38.84,66.07,313.45,1133.92,584.85,584.42,569.49,568.23,5.68,69.22,33.50,33.38,33.55,33.46,0.00,0.00,214.82,215.44,223.10,217.85,0.00,0.06,481.05,87.01,12.49,323.47,321.09,495.63,36.14,12.15,28.17,33.34,7.01,4.75,70333.23,12.82
a-12-01  01:40:00,314.76,134.90,38.84,66.12,312.73,1128.95,583.26,582.66,568.55,569.05,5.41,69.22,33.89,33.74,33.83,33.74,0.00,0.00,211.71,213.09,220.07,215.17,0.00,0.06,483.82,89.99,11.33,323.30,321.17,495.14,37.52,11.49,28.43,32.14,7.01,4.80,68473.98,14.28
a-12-01  01:50:00,316.69,134.47,38.84,65.77,313.24,1130.27,588.98,585.47,570.14,569.30,5.41,69.22,33.82,33.73,33.58,33.66,0.00,0.00,213.01,214.21,219.66,214.63,0.01,0.02,484.12,93.07,11.75,322.82,320.75,497.00,37.15,14.12,28.24,31.68,6.98,4.71,71386.27,14.04
a-12-01  02:00:00,317.12,135.54,38.76,65.03,313.61,1136.98,589.59,587.06,569.03,569.06,5.79,69.15,33.96,33.88,33.88,33.82,0.00,0.00,213.59,215.20,219.35,215.80,0.02,0.03,482.50,91.69,11.66,323.27,321.11,497.76,35.45,11.41,28.46,38.92,6.91,4.70,70120.52,12.94
a-12-01  02:10:00,316.63,134.67,38.75,65.03,313.83,1132.30,590.02,588.66,568.55,569.06,5.09,69.37,33.60,33.54,33.56,33.58,0.00,0.00,212.21,215.28,217.85,214.89,0.01,0.03,487.59,91.49,11.81,323.71,321.46,498.57,36.76,12.22,28.81,37.63,6.86,4.69,69864.57,13.07
a-12-01  02:20:00,316.06,134.06,38.66,65.08,312.40,1123.48,588.03,587.42,568.51,568.61,5.07,69.24,33.70,33.54,33.61,33.55,0.00,0.00,208.81,213.43,214.96,212.82,0.00,0.04,484.35,91.37,11.18,323.86,321.42,498.42,36.52,10.21,28.56,32.99,7.02,4.75,69031.27,13.78
a-12-01  02:30:00,316.93,135.47,38.56,64.41,313.76,1137.24,590.64,588.22,570.32,569.04,5.77,69.27,33.82,33.89,33.85,33.84,0.00,0.00,211.97,215.85,217.19,215.58,0.00,0.04,485.77,93.38,10.82,323.42,321.36,499.32,35.31,13.36,28.64,34.87,7.11,4.80,68129.77,14.30
a-12-01  02:40:00,316.57,136.00,38.56,64.07,314.15,1139.65,592.70,590.76,569.34,569.37,5.99,69.01,34.06,33.89,34.03,34.03,0.00,0.00,213.06,216.50,217.49,216.04,0.00,0.04,487.77,95.59,11.19,324.11,321.76,499.63,36.45,13.62,28.79,37.39,6.95,4.72,69693.98,14.21
a-12-01  02:50:00,318.57,134.24,38.48,64.79,312.58,1128.18,593.96,592.06,568.68,568.84,5.83,68.59,33.71,33.63,33.51,33.49,0.00,0.00,210.20,213.70,214.83,213.87,0.00,0.04,494.05,94.77,11.23,324.37,322.24,499.68,41.02,13.77,29.08,36.49,6.84,4.71,70652.33,14.27
a-12-01  03:00:00,319.18,134.85,38.43,63.94,313.01,1130.06,592.48,590.64,568.20,568.35,5.68,69.18,33.75,33.80,33.65,33.59,0.00,0.00,210.03,213.76,213.83,215.52,0.00,0.04,492.61,94.88,9.59,324.33,322.25,499.30,39.77,10.48,28.52,37.56,6.88,4.73,69270.04,14.23
a-12-01  03:10:00,319.55,135.63,38.33,63.44,313.97,1138.76,594.25,591.60,570.21,569.27,6.20,69.02,33.87,33.75,33.86,33.77,0.00,0.00,213.39,215.96,215.76,219.85,0.00,0.04,489.37,94.38,9.06,324.52,322.29,499.77,38.13,13.15,28.73,35.75,7.05,4.76,68558.02,14.41
a-12-01  03:20:00,318.13,134.56,38.31,63.69,313.29,1126.72,593.80,591.71,567.55,568.33,6.15,67.43,33.74,33.67,33.67,33.67,0.00,0.00,209.88,213.10,213.82,218.61,0.00,0.04,495.75,95.84,8.07,324.79,322.53,499.59,42.97,12.35,28.98,37.67,6.86,4.75,69747.86,14.99
a-12-01  03:30:00,316.32,135.67,38.31,63.83,313.71,1135.59,588.44,586.81,568.27,568.48,5.18,69.50,33.97,33.73,33.88,33.80,0.00,0.00,215.30,216.78,215.71,221.92,0.00,0.04,485.35,93.51,7.14,324.47,322.27,497.98,40.68,8.81,28.74,38.31,7.05,4.71,68368.59,14.78
a-12-01  03:40:00,317.32,135.01,38.21,63.53,313.23,1129.58,590.26,586.84,569.71,569.23,5.44,69.24,33.83,33.76,33.76,33.73,0.00,0.00,220.13,218.75,216.90,223.81,0.01,0.01,486.64,98.16,7.03,324.22,322.25,498.19,38.05,11.80,28.59,38.08,7.03,4.80,68632.03,14.64
a-12-01  03:50:00,317.68,134.52,38.15,63.67,313.17,1125.59,592.01,589.08,569.32,569.13,5.25,69.09,33.69,33.68,33.65,33.65,0.00,0.00,221.19,217.98,218.88,224.37,0.02,0.01,490.40,95.49,6.31,324.18,322.23,499.28,39.86,13.36,28.83,39.35,6.90,4.79,69400.76,14.29
